[0/2] Re-checking globbed directories...
ninja: no work to do.
+1.12509e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12524e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12539e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12554e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12569e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12584e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12599e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12614e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12629e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12644e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12659e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12674e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12689e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12704e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12719e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12734e+06ns In SlowStart, updated to cwnd 4338 ssthresh 5784
+1.12749e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12764e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12779e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12794e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12809e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12824e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12839e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
+1.12854e+06ns In SlowStart, updated to cwnd 5784 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 7114 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
In CongAvoid, updated to cwnd 6145 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6807 ssthresh 5784
In CongAvoid, updated to cwnd 6485 ssthresh 5784
